nct_id,brief_title,overall_status,phases,topic_id,topic_score,topic_label
NCT03330587,Living Alone in Old Age With Cognitive Impairment,UNKNOWN,,3,0.24531289027286546,Neuroinflammation & Immune
NCT03816228,Imaging of Brain Structural/Functional Connectivity and Amyloid and Tau Lesions in APOE4 Carriers.,WITHDRAWN,,2,0.12902664457746443,Amyloid/Tau Pathology
NCT04360200,Cognitive Impairment in Ageing People,RECRUITING,,3,0.15562859062608045,Neuroinflammation & Immune
NCT04282798,Racial Variation in Response to Music Interventions for People With Alzheimer's Dementia,WITHDRAWN,,1,0.13148268513628433,Neuroinflammation & Immune
NCT03876314,"Physical Activity, Alzheimer's Disease and Cognition Relative to APOE Genotype",COMPLETED,,0,0.06439096339612088,"Care, Lifestyle & QoL"
NCT01315704,Alzheimer's Disease and Related Disorders,UNKNOWN,,1,0.10946202103637408,Neuroinflammation & Immune
NCT06964230,A Phase 2b/3 Clinical Study Evaluating T3D-959 in Mild-to-Moderate Alzheimer's Disease Subjects,NOT_YET_RECRUITING,PHASE2|PHASE3,1,0.22409397383369825,Neuroinflammation & Immune
NCT01745198,Effect of Cerefolin®/CerefolinNAC® on Biomarker Measurements,COMPLETED,,2,0.07182182375089209,Amyloid/Tau Pathology
NCT05363293,"Multiple Ascending Dose Safety, Tolerability, PK Study of AL001 in Alzheimer's Disease Patients & Healthy Adult Subjects",COMPLETED,PHASE1|PHASE2,4,0.19681662934360694,Neuroinflammation & Immune
NCT05787028,"Safety, Tolerability and Pharmacokinetics of AD16 Tablets in Adult Healthy Subjects After Single Administration",COMPLETED,PHASE1,4,0.24788392207001894,Neuroinflammation & Immune
NCT06079216,Making Connections Thru Music,NOT_YET_RECRUITING,,0,0.11337217983940248,"Care, Lifestyle & QoL"
NCT04855630,Combating Alzheimer's Through Sleep and Exercise,RECRUITING,,0,0.06314846940067578,"Care, Lifestyle & QoL"
NCT00499200,"Study Evaluating Safety, Tolerability, Pharmacokinetics and 5 HT1A Receptor Occupancy",COMPLETED,PHASE1,4,0.28551198100095726,Neuroinflammation & Immune
NCT05352763,Open-Label Extension of the PTI-125-04 Study in Mild-to-Moderate Alzheimer's Disease,TERMINATED,PHASE2,1,0.3363718896538146,Neuroinflammation & Immune
NCT02035553,A Study of the Safety and Efficacy of Pimavanserin in Patients With Alzheimer's Disease Psychosis,COMPLETED,PHASE2,5,0.2680913625795045,Other / Mixed
NCT01059877,Efficacy of 1072nm Infrared Stimulation on Executive Functioning in Dementia,COMPLETED,,5,0.2014385671589446,Other / Mixed
NCT05364307,Identification of Patients With a High Probability of Meeting Eligibility Criteria for an Alzheimer's Disease Clinical Trial (APHELEIA),COMPLETED,,3,0.13899734439985045,Neuroinflammation & Immune
NCT05556395,Global Blood-Brain Barrier Disruption and Post-Stroke Cognitive Decline,RECRUITING,,3,0.05575120714279551,Neuroinflammation & Immune
NCT02907567,Clinical Trial of CT1812 in Mild to Moderate Alzheimer's Disease,COMPLETED,PHASE1|PHASE2,1,0.19876750244842828,Neuroinflammation & Immune
NCT06831812,Phase I Clinical Study of AV-1959R: Abeta-targeting Anti-Alzheimer's Vaccine,COMPLETED,PHASE1,4,0.07757667778631092,Neuroinflammation & Immune
NCT05516667,Cohort of Patients with Alzheimer's Disease and Their Families.,RECRUITING,,0,0.06529590665570319,"Care, Lifestyle & QoL"
NCT00315575,Memory Imaging of Normal Aging,COMPLETED,,2,0.10253664342136397,Amyloid/Tau Pathology
NCT02640092,Longitudinal Evaluation of [18F]GTP1 as a PET Radioligand for Imaging Tau in the Brain of Participants With Alzheimer's Disease Compared to Healthy Participants,COMPLETED,PHASE1,2,0.31813498935592294,Amyloid/Tau Pathology
NCT06199193,Design of Personalised SupplemenTs Based on the Gut MicRobiota Through Artificial Intelligence for Alzheimer's Patients,UNKNOWN,,2,0.02668401184301464,Amyloid/Tau Pathology
NCT03923712,"Exercise, Brain, Cognition, OMICs, Molecular Markers and Functionality in People at Risk of Mild Cognitive Impairment",COMPLETED,,3,0.14289057709308303,Neuroinflammation & Immune
NCT01476228,EEG Objectification in Neuropsychiatry,UNKNOWN,,0,0.030846771475230416,"Care, Lifestyle & QoL"
NCT05446805,Depression and Driving,RECRUITING,,0,0.0402395584982116,"Care, Lifestyle & QoL"
NCT01681602,Effect of Physical Exercise in Alzheimer Patients,COMPLETED,PHASE3,0,0.1064318789541139,"Care, Lifestyle & QoL"
NCT06114745,A Trial of SHR-1707 Infusion in Patients With Mild Cognitive Impairment Due to Alzheimer's Disease and Mild Alzheimer's Disease,COMPLETED,PHASE1,3,0.3248387786415168,Neuroinflammation & Immune
NCT04094129,Evaluation of the Effect of Wismemo on Alzheimer's Dementia Patients,WITHDRAWN,,0,0.033997440234902136,"Care, Lifestyle & QoL"
NCT02178124,"A Phase I Clinical Study, Randomized, Single-blind, Placebo-controlled, Multiple Doses, Dose Escalation Study of the Safety, Tolerability and Pharmacokinetics of Donepezil Patch in Healthy Male Subjects.",COMPLETED,PHASE1,4,0.3414553417067567,Neuroinflammation & Immune
NCT05537688,Identification of Graphic Markers of Neurocognitive Disorders (MG),COMPLETED,,0,0.04417014986760107,"Care, Lifestyle & QoL"
NCT03503331,UAB Alzheimer's Disease Center Core Cohort - Imaging Substudy,RECRUITING,PHASE2,2,0.21554053960422515,Amyloid/Tau Pathology
NCT04954183,Development of an EEG Diagnostic for Alzheimer's Disease,COMPLETED,,0,0.029460183633690733,"Care, Lifestyle & QoL"
NCT06411561,A Multi-Modal Combination Intervention to Promote Cognitive Function in Older Intensive Care Unit Survivors,RECRUITING,,3,0.13308066845798305,Neuroinflammation & Immune
NCT06035666,REducing Stress and Improving professionaLs' vItality Using innovativE iNtervenTions,UNKNOWN,,0,0.0869409336917402,"Care, Lifestyle & QoL"
NCT04948866,Palliative Care for Persons With Late-stage Alzheimer's and Related Dementias and Their Caregivers,COMPLETED,,0,0.12185339629316551,"Care, Lifestyle & QoL"
NCT03703856,Biomarker Predictors of Memantine Sensitivity in Patients With Alzheimer's Disease,COMPLETED,PHASE4,2,0.0347132888574795,Amyloid/Tau Pathology
NCT01953705,n-3 PUFA for Vascular Cognitive Aging,UNKNOWN,PHASE2,0,0.07795539677083618,"Care, Lifestyle & QoL"
NCT05921929,"First-In-Human (FIH), Single Ascending Dose (SAD) Study of FluoroEthylNorMemantine (FENM)",WITHDRAWN,PHASE1,4,0.19384267553360365,Neuroinflammation & Immune
NCT05967390,Localized Analysis of Normalized Distance From Scalp to Cortex and Personalized Evaluation (LANDSCAPE),ENROLLING_BY_INVITATION,,2,0.06786612789940265,Amyloid/Tau Pathology
NCT03617497,Prevalence of Epilepsy and Sleep Wake Disorders in Alzheimer Disease,UNKNOWN,,2,0.10385866654967915,Amyloid/Tau Pathology
NCT06179680,White Matter Hyperintensities in Amnestic Mild Cognitive Impairment or Alzheimer's Disease,RECRUITING,,3,0.17452026041584204,Neuroinflammation & Immune
NCT04079803,PTI-125 for Mild-to-moderate Alzheimer's Disease Patients,COMPLETED,PHASE2,1,0.24901328606074147,Neuroinflammation & Immune
NCT04099823,MR Evaluation of Cerebrospinal Fluid (CSF) Dynamics,RECRUITING,,2,0.12894713174976563,Amyloid/Tau Pathology
NCT06608589,CONSTELLATIONS Living Lab: Improving the Care Transitions of Older Adults Living with Neurocognitive Disorders,RECRUITING,,0,0.11615971920242495,"Care, Lifestyle & QoL"
NCT04235374,Implementation of Function Focused Care in Acute Care,COMPLETED,,0,0.11335232638335602,"Care, Lifestyle & QoL"
NCT06079190,Efficacy and Safety of GSK4527226 [AL101] in Participants With Early Alzheimer's Disease,ACTIVE_NOT_RECRUITING,PHASE2,3,0.2702045390557634,Neuroinflammation & Immune
NCT01762618,Experimental Study of the Impact of a Group Therapy Psychological Intervention for Caregivers of Alzheimer's Disease Patients,COMPLETED,,0,0.09549942856269937,"Care, Lifestyle & QoL"
NCT04693520,Biomarker Effects of ALZ-801 in APOE4 Carriers With Early Alzheimer's Disease,COMPLETED,PHASE2,4,0.10492681347604554,Neuroinflammation & Immune
NCT07573982,Ultrasonic Debris Clearance to Promote Brain Resilience,NOT_YET_RECRUITING,,3,0.1561506652436742,Neuroinflammation & Immune
NCT03649724,The LUCINDA Trial: LeUprolide Plus Cholinesterase Inhibition to Reduce Neurological Decline in Alzheimer's,ACTIVE_NOT_RECRUITING,PHASE2,5,0.16605504514876793,Other / Mixed
NCT02168920,Aripiprazole for the Treatment of Patients With Agitation Associated With Dementia of the Alzheimer's Type,TERMINATED,PHASE3,5,0.2430924494489005,Other / Mixed
NCT03697759,A Decision Support System for Self-management of Low Back Pain - PILOTSTUDY,COMPLETED,,0,0.041744160598018415,"Care, Lifestyle & QoL"
NCT06679296,Study on Aging and Cognitive Impairment in China,RECRUITING,,3,0.08891023669296312,Neuroinflammation & Immune
NCT05418296,Assessing a Novel Virtual Environment That Assists With Activities of Daily Living,COMPLETED,,0,0.06713828914621324,"Care, Lifestyle & QoL"
NCT03933696,"Light, Metabolic Syndrome and Alzheimer's Disease - Aim 2",COMPLETED,,3,0.21678281897615587,Neuroinflammation & Immune
NCT01117818,"Clinical- and Immunological Activity, Safety and Tolerability of Different Doses / Formulations of AFFITOPE AD02 in Early Alzheimer's Disease",COMPLETED,PHASE2,4,0.14431078779832796,Neuroinflammation & Immune
NCT00438568,SNIFF 120: Study of Nasal Insulin to Fight Forgetfulness (120 Days),COMPLETED,PHASE2,3,0.2687873378663156,Neuroinflammation & Immune
NCT02187627,"Evaluation of [11C]RO6924963, [11C]RO6931643, and [18F]RO6958948 as Tracers for Positron Emission Tomography (PET) Imaging of Tau in Healthy and Alzheimer's Disease (AD) Participants",COMPLETED,PHASE1,2,0.3110048418089584,Amyloid/Tau Pathology
NCT02380573,"Effects of Methylene Blue in Healthy Aging, Mild Cognitive Impairment and Alzheimer's Disease",COMPLETED,PHASE2,3,0.2749280030080263,Neuroinflammation & Immune
NCT00582127,Evaluation of the COGNISION(TM) System as an Event-related Potential (ERP) Collection System.,COMPLETED,,0,0.03199946124185991,"Care, Lifestyle & QoL"
NCT02249351,Efficacy and Safety of Talsaclidine (Free Base) in Patients With Mild to Moderate Dementia of Alzheimer Type,TERMINATED,PHASE2,1,0.2301072201094949,Neuroinflammation & Immune
NCT00261573,A Study of the Safety and Effectiveness of Galantamine Versus Placebo in the Treatment of Patients With Vascular Dementia or Mixed Dementia,COMPLETED,PHASE3,5,0.15418322893045566,Other / Mixed
NCT03943641,Dementia Risk Prediction Model: Development and Validation,COMPLETED,,0,0.0849437326054621,"Care, Lifestyle & QoL"
NCT01362686,Comparative Research of Alzheimer's Disease Drugs,TERMINATED,,0,0.06735139669447514,"Care, Lifestyle & QoL"
NCT06631742,Exergaming Revolution in Dementia,RECRUITING,,0,0.0739133419297001,"Care, Lifestyle & QoL"
NCT02006641,Idalopirdine in Patients With Mild-moderate Alzheimer's Disease Treated With Donepezil,COMPLETED,PHASE3,1,0.33782520820274364,Neuroinflammation & Immune
NCT04096261,The Importance of Sleep Quality and the Blood-brain Barrier in Cognitive Disorders and Alzheimer's Disease,WITHDRAWN,,2,0.05524538677090606,Amyloid/Tau Pathology
NCT05601856,Gut Microbiome and Blood Indices in Patients With AD and Their Spousal Caregivers,RECRUITING,,0,0.05167013876729208,"Care, Lifestyle & QoL"
NCT03371706,Communication Bridge 2,COMPLETED,,0,0.06308308996576174,"Care, Lifestyle & QoL"
NCT00412048,Functional Magnetic Resonance Imaging - Synthetic Aperture Magnetometry (fMRI-SAM) and Alzheimer's Disease,WITHDRAWN,,3,0.1467660443868134,Neuroinflammation & Immune
NCT06827678,Establishment of the Chinese Preclinical Alzheimer's Disease Study With Multiple Neuroimaging,RECRUITING,,2,0.0678269526270497,Amyloid/Tau Pathology
NCT02031198,"18-months Safety Follow-up Study of AADvac1, an Active Tau Vaccine for Alzheimer's Disease",COMPLETED,PHASE1,5,0.11004110140624554,Other / Mixed
NCT02672306,Safety and Exploratory Efficacy Study of UCMSCs in Patients With Alzheimer's Disease,UNKNOWN,PHASE1|PHASE2,5,0.2197792039672426,Other / Mixed
NCT02129348,Treatment of Psychosis and Agitation in Alzheimer's Disease,COMPLETED,PHASE2,5,0.08577522581335079,Other / Mixed
NCT01566071,Ability to Drive of Early Stage Alzheimer Disease,COMPLETED,,4,0.03880025910057757,Neuroinflammation & Immune
NCT00083421,Effects of ONO-2506PO in Patients With Alzheimer's Disease,COMPLETED,PHASE2,3,0.05301769789105418,Neuroinflammation & Immune
NCT04745104,A Trial of SHR-1707 in Healthy Young Adult and Elderly Subjects,COMPLETED,PHASE1,4,0.18550291850518122,Neuroinflammation & Immune
NCT02992132,Study to Examine the Safety and Efficacy of Pimavanserin for the Treatment of Agitation and Aggression in Alzheimer's Disease (SERENE),TERMINATED,PHASE2,5,0.29998481297117474,Other / Mixed
NCT02726906,Lifestyle Enriching Activities for Research in Neuroscience Intervention Trial: LEARNit Study,COMPLETED,,0,0.07623746223505967,"Care, Lifestyle & QoL"
NCT03628404,Defining the Genetic Etiology of Alzheimer's Disease in the Faroe Islands,UNKNOWN,,0,0.0664460856552808,"Care, Lifestyle & QoL"
NCT07521384,Real World Outcomes of Intranasal MuSE Exosomes and Stem Cells in Neurological Regenerative Therapy,ENROLLING_BY_INVITATION,,4,0.0619954632306718,Neuroinflammation & Immune
NCT04049643,Hearing Aid and Individuals With Cognitive Disorders,COMPLETED,,3,0.07450341976020615,Neuroinflammation & Immune
NCT06750432,PMN310 in Patients With Early Alzheimer's Disease (PRECISE-AD),ACTIVE_NOT_RECRUITING,PHASE1,4,0.227891178176325,Neuroinflammation & Immune
NCT00381238,Open-Label Extension Assessing Long-Term Safety Of Rosiglitazone In Subjects With Mild To Moderate Alzheimer's Disease,COMPLETED,PHASE2,1,0.31543016887359476,Neuroinflammation & Immune
NCT06185543,"A Phase 2, Randomized, Prospective Double-Blind, Single-Center, Placebo-controlled Study to Evaluate Safety, Tolerability, Target Engagement, and Efficacy of PrimeC in Patients With Mild to Moderate Alzheimer's Disease.",TERMINATED,PHASE2,1,0.16985234310592243,Neuroinflammation & Immune
NCT01560585,Open Label Study of Isotretinoin in Mild to Moderate Alzheimer's Disease,TERMINATED,PHASE1|PHASE2,1,0.22079959519500036,Neuroinflammation & Immune
NCT06733714,Association of Transcranial Alternating Current Stimulation with Digital Cognitive Training for Cognitive Remediation in Older Adults,RECRUITING,,3,0.15627506207676617,Neuroinflammation & Immune
NCT03208491,AZ@GAME-Eco: Economic Assessment of Serious Games for the Management of Alzheimer's Disease and Related Disorders,UNKNOWN,,0,0.06679401374253227,"Care, Lifestyle & QoL"
NCT01855360,Doxycycline and TUDCA in Patients With Transthyretin Amyloid Cardiomyopathy,COMPLETED,PHASE1|PHASE2,2,0.06815566617093376,Amyloid/Tau Pathology
NCT00743743,Pilot Study of the Effects of Resveratrol Supplement in Mild-to-moderate Alzheimer's Disease,WITHDRAWN,PHASE3,1,0.22367693820389897,Neuroinflammation & Immune
NCT00927108,Rajavtihi Neuronal Adult Stem Cells Project,WITHDRAWN,PHASE2,2,0.039224064272264554,Amyloid/Tau Pathology
NCT03757325,Study to Evaluate DNL747 in Subjects With Alzheimer's Disease,COMPLETED,PHASE1,4,0.333729256134309,Neuroinflammation & Immune
NCT01832350,Nuedexta in the Treatment of Pseudobulbar Affect in Patients With Alzheimer's Disease,TERMINATED,PHASE4,4,0.07903976393574216,Neuroinflammation & Immune
NCT07170150,A Clinical Trial of Trontinemab in Participants With Early Symptomatic Alzheimer's Disease,RECRUITING,PHASE3,3,0.26646525400630194,Neuroinflammation & Immune
NCT00620191,Metformin in Amnestic Mild Cognitive Impairment,COMPLETED,PHASE2,3,0.16865776603643318,Neuroinflammation & Immune
NCT05215782,Eye to Brain Connection,COMPLETED,,2,0.20870146576500984,Amyloid/Tau Pathology
NCT04073225,"Optimizing Cognitive, Environmental, and Neuromotor Stimulation in Traumatic Brain Injury",COMPLETED,,0,0.04950265880482842,"Care, Lifestyle & QoL"
NCT06092125,Clinical Applicantion of Multi-Tracer PET/MR Imaging in Neurological Disorders/Disease,RECRUITING,,2,0.15046497560389133,Amyloid/Tau Pathology
NCT07115238,"Analysis of 18F-XTR006 PET Imaging in Cognitively Normal Subjects, and Patients With MCI and AD",RECRUITING,PHASE3,2,0.13841100225461966,Amyloid/Tau Pathology
NCT06821568,Home-Based Brain Stimulation for Motoric Cognitive Risk Syndrome,RECRUITING,,3,0.07642979029861838,Neuroinflammation & Immune
NCT02129452,Olfactory Neuroepithelial Tissue of Alzheimer Disease,COMPLETED,,2,0.07241552543856926,Amyloid/Tau Pathology
NCT06191952,Davos Alzheimer's Collaborative Healthcare System Preparedness to Increase Cognitive Assessment Rates for Older Adults,UNKNOWN,,0,0.06510261594044049,"Care, Lifestyle & QoL"
NCT00715858,A Pilot Study of Inflammatory Markers in Alzheimer's Disease,UNKNOWN,PHASE3,2,0.06643583424207246,Amyloid/Tau Pathology
NCT01420315,The Prevalence of Vitamin D Deficiency in Patients With Alzheimer's Disease,COMPLETED,,3,0.044442389284398164,Neuroinflammation & Immune
NCT02190084,Repetitive Transcranial Magnetic Stimulation for Apathy in Alzheimer's Dementia,COMPLETED,PHASE4,0,0.05438548938536939,"Care, Lifestyle & QoL"
NCT04780178,Telephone Acceptance and Commitment Therapy Intervention for Caregivers of Adults With ADRD,COMPLETED,,0,0.09286108226193462,"Care, Lifestyle & QoL"
NCT00726115,"Study Evaluating Safety, Tolerability and Pharmacokinetics of Single and Multiple Dose of SAM-531",COMPLETED,PHASE1,4,0.3195182569596773,Neuroinflammation & Immune
NCT05321485,The Effect of MedicijnWijs on Adherence to Azathioprine Therapy in Adolescents With IBD,UNKNOWN,,0,0.055657842613819744,"Care, Lifestyle & QoL"
NCT04182282,Online Training & Certification for Competency in Dementia Friendly Hospital Care,UNKNOWN,,0,0.08009557453441069,"Care, Lifestyle & QoL"
NCT02213458,Care Ecosystem: Navigating Patients and Families Through Stages of Care,COMPLETED,,0,0.12313268506791838,"Care, Lifestyle & QoL"
NCT00053599,Cholesterol Lowering Agent to Slow Progression (CLASP) of Alzheimer's Disease Study,COMPLETED,PHASE3,5,0.0296427545186097,Other / Mixed
NCT03174938,The Swedish BioFINDER 2 Study,RECRUITING,,2,0.18824174402687105,Amyloid/Tau Pathology
NCT00843115,Observational Study Of Donepezil In Routine Clinical Practice,TERMINATED,,1,0.04425517128442925,Neuroinflammation & Immune
NCT02051608,A Study of Gantenerumab in Participants With Mild Alzheimer Disease,COMPLETED,PHASE3,2,0.2509301880659311,Amyloid/Tau Pathology
NCT05805215,Noninvasive Temporal Interference Stimulation: Modulating Associative Memory by Targeting Deep-brain Targets,UNKNOWN,,2,0.12163872300744792,Amyloid/Tau Pathology
NCT03587376,Characterization of T-Cell Response in Participants Previously Treated With JNJ-54861911 (Atabecestat),COMPLETED,EARLY_PHASE1,1,0.04598022185829206,Neuroinflammation & Immune
NCT06786676,"A Phase 1 Clinical Trial to Investigate the Safety, Tolerability, and Pharmacokinetics of AS-S603 in Healthy Participants",RECRUITING,PHASE1,4,0.2478091192507706,Neuroinflammation & Immune
NCT00056225,VITAL - VITamins to Slow ALzheimer's Disease (Homocysteine Study),COMPLETED,PHASE3,3,0.0517244082434165,Neuroinflammation & Immune
NCT01696591,The Long-Term Safety and Efficacy Follow-Up Study of Subjects Who Completed the Phase I Clinical Trial of Neurostem®-AD,UNKNOWN,,5,0.12092918640365595,Other / Mixed
NCT03123224,The COACH Project: Combined Online Assistance for Caregiver Health,UNKNOWN,,0,0.09111021855595722,"Care, Lifestyle & QoL"
