nct_id,brief_title,kmeans_cluster
NCT03649724,The LUCINDA Trial: LeUprolide Plus Cholinesterase Inhibition to Reduce Neurological Decline in Alzheimer's,5
NCT02168920,Aripiprazole for the Treatment of Patients With Agitation Associated With Dementia of the Alzheimer's Type,1
NCT03697759,A Decision Support System for Self-management of Low Back Pain - PILOTSTUDY,3
NCT06679296,Study on Aging and Cognitive Impairment in China,5
NCT05418296,Assessing a Novel Virtual Environment That Assists With Activities of Daily Living,3
NCT03933696,"Light, Metabolic Syndrome and Alzheimer's Disease - Aim 2",5
NCT01117818,"Clinical- and Immunological Activity, Safety and Tolerability of Different Doses / Formulations of AFFITOPE AD02 in Early Alzheimer's Disease",4
NCT00438568,SNIFF 120: Study of Nasal Insulin to Fight Forgetfulness (120 Days),5
NCT02187627,"Evaluation of [11C]RO6924963, [11C]RO6931643, and [18F]RO6958948 as Tracers for Positron Emission Tomography (PET) Imaging of Tau in Healthy and Alzheimer's Disease (AD) Participants",0
NCT02380573,"Effects of Methylene Blue in Healthy Aging, Mild Cognitive Impairment and Alzheimer's Disease",5
NCT00582127,Evaluation of the COGNISION(TM) System as an Event-related Potential (ERP) Collection System.,2
NCT02249351,Efficacy and Safety of Talsaclidine (Free Base) in Patients With Mild to Moderate Dementia of Alzheimer Type,1
NCT00261573,A Study of the Safety and Effectiveness of Galantamine Versus Placebo in the Treatment of Patients With Vascular Dementia or Mixed Dementia,1
NCT03943641,Dementia Risk Prediction Model: Development and Validation,3
NCT01362686,Comparative Research of Alzheimer's Disease Drugs,3
NCT06631742,Exergaming Revolution in Dementia,3
NCT02006641,Idalopirdine in Patients With Mild-moderate Alzheimer's Disease Treated With Donepezil,1
NCT04096261,The Importance of Sleep Quality and the Blood-brain Barrier in Cognitive Disorders and Alzheimer's Disease,2
NCT05601856,Gut Microbiome and Blood Indices in Patients With AD and Their Spousal Caregivers,3
NCT03371706,Communication Bridge 2,3
NCT00412048,Functional Magnetic Resonance Imaging - Synthetic Aperture Magnetometry (fMRI-SAM) and Alzheimer's Disease,5
NCT06827678,Establishment of the Chinese Preclinical Alzheimer's Disease Study With Multiple Neuroimaging,2
NCT02031198,"18-months Safety Follow-up Study of AADvac1, an Active Tau Vaccine for Alzheimer's Disease",1
NCT02672306,Safety and Exploratory Efficacy Study of UCMSCs in Patients With Alzheimer's Disease,1
NCT02129348,Treatment of Psychosis and Agitation in Alzheimer's Disease,3
NCT01566071,Ability to Drive of Early Stage Alzheimer Disease,2
NCT00083421,Effects of ONO-2506PO in Patients With Alzheimer's Disease,2
NCT04745104,A Trial of SHR-1707 in Healthy Young Adult and Elderly Subjects,4
NCT02992132,Study to Examine the Safety and Efficacy of Pimavanserin for the Treatment of Agitation and Aggression in Alzheimer's Disease (SERENE),1
NCT02726906,Lifestyle Enriching Activities for Research in Neuroscience Intervention Trial: LEARNit Study,2
NCT03628404,Defining the Genetic Etiology of Alzheimer's Disease in the Faroe Islands,3
NCT07521384,Real World Outcomes of Intranasal MuSE Exosomes and Stem Cells in Neurological Regenerative Therapy,2
NCT04049643,Hearing Aid and Individuals With Cognitive Disorders,3
NCT06750432,PMN310 in Patients With Early Alzheimer's Disease (PRECISE-AD),4
NCT00381238,Open-Label Extension Assessing Long-Term Safety Of Rosiglitazone In Subjects With Mild To Moderate Alzheimer's Disease,1
NCT06185543,"A Phase 2, Randomized, Prospective Double-Blind, Single-Center, Placebo-controlled Study to Evaluate Safety, Tolerability, Target Engagement, and Efficacy of PrimeC in Patients With Mild to Moderate Alzheimer's Disease.",1
NCT01560585,Open Label Study of Isotretinoin in Mild to Moderate Alzheimer's Disease,1
NCT06733714,Association of Transcranial Alternating Current Stimulation with Digital Cognitive Training for Cognitive Remediation in Older Adults,5
NCT03208491,AZ@GAME-Eco: Economic Assessment of Serious Games for the Management of Alzheimer's Disease and Related Disorders,3
NCT01855360,Doxycycline and TUDCA in Patients With Transthyretin Amyloid Cardiomyopathy,2
NCT00743743,Pilot Study of the Effects of Resveratrol Supplement in Mild-to-moderate Alzheimer's Disease,1
NCT00927108,Rajavtihi Neuronal Adult Stem Cells Project,2
NCT03757325,Study to Evaluate DNL747 in Subjects With Alzheimer's Disease,4
NCT01832350,Nuedexta in the Treatment of Pseudobulbar Affect in Patients With Alzheimer's Disease,2
NCT07170150,A Clinical Trial of Trontinemab in Participants With Early Symptomatic Alzheimer's Disease,5
NCT00620191,Metformin in Amnestic Mild Cognitive Impairment,5
NCT05215782,Eye to Brain Connection,0
NCT04073225,"Optimizing Cognitive, Environmental, and Neuromotor Stimulation in Traumatic Brain Injury",2
NCT06092125,Clinical Applicantion of Multi-Tracer PET/MR Imaging in Neurological Disorders/Disease,0
NCT07115238,"Analysis of 18F-XTR006 PET Imaging in Cognitively Normal Subjects, and Patients With MCI and AD",0
NCT06821568,Home-Based Brain Stimulation for Motoric Cognitive Risk Syndrome,2
NCT02129452,Olfactory Neuroepithelial Tissue of Alzheimer Disease,2
NCT06191952,Davos Alzheimer's Collaborative Healthcare System Preparedness to Increase Cognitive Assessment Rates for Older Adults,3
NCT00715858,A Pilot Study of Inflammatory Markers in Alzheimer's Disease,2
NCT01420315,The Prevalence of Vitamin D Deficiency in Patients With Alzheimer's Disease,2
NCT02190084,Repetitive Transcranial Magnetic Stimulation for Apathy in Alzheimer's Dementia,2
NCT04780178,Telephone Acceptance and Commitment Therapy Intervention for Caregivers of Adults With ADRD,3
NCT00726115,"Study Evaluating Safety, Tolerability and Pharmacokinetics of Single and Multiple Dose of SAM-531",4
NCT05321485,The Effect of MedicijnWijs on Adherence to Azathioprine Therapy in Adolescents With IBD,3
NCT04182282,Online Training & Certification for Competency in Dementia Friendly Hospital Care,3
NCT02213458,Care Ecosystem: Navigating Patients and Families Through Stages of Care,3
NCT00053599,Cholesterol Lowering Agent to Slow Progression (CLASP) of Alzheimer's Disease Study,2
NCT03174938,The Swedish BioFINDER 2 Study,0
NCT00843115,Observational Study Of Donepezil In Routine Clinical Practice,2
NCT02051608,A Study of Gantenerumab in Participants With Mild Alzheimer Disease,0
NCT05805215,Noninvasive Temporal Interference Stimulation: Modulating Associative Memory by Targeting Deep-brain Targets,2
NCT03587376,Characterization of T-Cell Response in Participants Previously Treated With JNJ-54861911 (Atabecestat),2
NCT06786676,"A Phase 1 Clinical Trial to Investigate the Safety, Tolerability, and Pharmacokinetics of AS-S603 in Healthy Participants",4
NCT00056225,VITAL - VITamins to Slow ALzheimer's Disease (Homocysteine Study),2
NCT01696591,The Long-Term Safety and Efficacy Follow-Up Study of Subjects Who Completed the Phase I Clinical Trial of Neurostem®-AD,1
NCT03123224,The COACH Project: Combined Online Assistance for Caregiver Health,3
NCT00006176,Clinical and Genetic Studies of Familial Presenile Dementia With Neuronal Inclusion Bodies,2
NCT00622713,"A 24 Week, Multicenter, Open, Evaluation of the Clinical Effectiveness of the Once-daily 10 cm^2 Rivastigmine Patch Formulation in Patients With Probable Alzheimer's Disease (EXTRA)",2
NCT00403520,Hippocampus Study: Comparative Effect of Donepezil 10mg/d and Placebo on Clinical and Radiological Markers,2
NCT01421056,Evaluation of Safety & Tolerability of Multiple Dose Regimens of CHF 5074 and Exploration of Effects on Potential Markers of Clinical Efficacy in Patients With Mild Cognitive Impairment - Open Label Extension (CT04 OLEP),4
NCT01688128,Efficacy of Ubiquitous SR-based Memory Advancement and Rehabilitation Training (U-SMART),5
NCT04886063,Open Label Study of ATH-1017 for Treatment of Mild to Moderate Alzheimer's Disease,1
NCT02434393,Characterizing Cognitive Decline in Late Life Depression: The ADNI Depression Project,0
NCT00954616,Inappropriate Medications Associated With Anticholinesterase and/or Memantine Treatment in the Elderly,2
NCT05760521,Optimizing Rural Community Health Through Dementia Detection and Care,3
NCT04614532,Recognizing Pain Intensity in Alzheimer's Disease,5
NCT07062198,Combined Metabolic Activator Supplementation in Subjects Diagnosed With Alzheimer's Disease,2
NCT03288363,Transcranial Direct Current Stimulation and Early Alzheimer's Disease (tDCS-AD),2
NCT05019014,Olfactory Deficits in Neurologic Disease,2
NCT06057909,A Study of Neurodegeneration and Neuronal Fluctuations in Lewy Body Disease and Alzheimer's Disease,2
NCT01083316,Bortezomib and Dexamethasone Followed by High-Dose Melphalan and Stem Cell Transplantation for Primary (AL) Amyloidosis,2
NCT00955409,"Long Term Extension Study Evaluating Safety, Tolerability and Immunogenicity Of ACC-001 In Subjects With Mild To Moderate Alzheimer's Disease",1
NCT05246332,Grounding Effect on Alzheimer's Disease,3
NCT03624842,Expanded Access With Trappsol(R) Cyclo (TM) for an Individual Patient With Late Onset Alzheimer's Disease,2
NCT03055741,Study of DHP1401 in Patients With Mild-moderate Alzheimer's Disease Treated With Donepezil(DRAMA),1
NCT04404153,Neurostimulation for Cognitive Enhancement in Alzheimer's Disease,3
NCT02172612,A Pilot Study to Reduce Inappropriate Anticholinergic Prescribing in the Elderly,3
NCT00000172,Evaluation of Galantamine in the Treatment of Alzheimer's Disease,2
NCT06619795,Combined Effect of tDCS and Motor or Cognitive Activity in Patients With Alzheimer's Disease,2
NCT07516119,Predicting Pre-dementia,5
NCT03721705,Renew NCP-5 for the Treatment of Mild Cognitive Impairment Due to Alzheimer's Disease (AD) or Mild Dementia of the Alzheimer's Type,5
NCT06495957,Electroacupuncture for the Treatment of Agitated Symptoms of Alzheimer's Disease,2
NCT06530277,REMINDer - A Digital Environmental Enrichment Intervention,3
NCT00467766,Combining a Caregiver Intervention With Aricept Treatment for Mild to Moderate Alzheimer's Disease,3
NCT06199037,Safety and Pharmacodynamics of SHR-1707 in Alzheimer's Disease Patients,5
NCT01966666,"A Safety, Tolerability, Pharmacokinetics, Pharmacodynamics and Preliminary Efficacy Study of TPI-287 in Alzheimer's Disease",1
NCT03672266,Studies of Brain and Body Interaction,2
NCT04820335,Promoting Independence With Compensatory Cognitive Rehabilitation,5
NCT06691256,Preventing Medication Mismanagement in People Living with Dementia Through Automated Medication Dispensing with Facial Recognition and Video Observation,3
NCT00736775,"A Study of the Safety, Pharmacokinetics, Pharmacodynamics, and Immunogenicity of Anti-Abeta (MABT5102A) in Patients With Alzheimer's Disease",4
NCT06246019,The Clinical Impact of the Novel Alzheimer's Blood-based Biomarkers,2
NCT01354444,Trial of Carvedilol in Alzheimer's Disease,2
NCT07208344,Intravenous Infusion of Umbilical Cord Blood as an Adjunctive Treatment for Alzheimer's Disease,2
NCT01743534,Conservation of Praxis in the Food and Alzheimer Disease,3
NCT01120002,Efficacy and Safety of Tamibarotene (OAM80) for Alzheimer's Disease,1
NCT02494531,Illiteracy and Vulnerability to Alzheimer's Disease: Evaluation of Amyloid Pathology by PET Imaging,0
NCT01867372,Early Markers of Alzheimer's Disease: Structural and Functional Brain Changes,2
NCT00546767,Home-Based Assessment for Alzheimer Disease Prevention,3
NCT06052254,Dexmedetomidine Transdermal Systems (DMTS) Treatment for Agitation Associated With Dementia of the Alzheimer's Type,3
NCT02006654,Study of Idalopirdine in Patients With Mild - Moderate Alzheimer's Disease Treated With an Acetylcholinesterase Inhibitor,1
NCT06151795,A Study to Evaluate XTR006 in Chinese Volunteers,0
NCT01953601,Efficacy and Safety Trial of Verubecestat (MK-8931) in Participants With Prodromal Alzheimer's Disease (MK-8931-019),1
NCT03840928,PatientSpot Formerly Known as ArthritisPower,2
NCT01190800,Capacity Assessment in Persons With Alzheimer's Disease,3
NCT01231971,Alzheimer's Disease Neuroimaging Initiative 2,5
NCT02492529,Knowing and Remembering: Cognitive and Neural Influences of Familiarity on Recognition Memory in Early Alzheimer's Disease,2
NCT01454453,Optimisation of Antipsychotic Drug Use in Older People,2
NCT07102212,Telemedicine-mHealth Symptom Cluster Intervention for Advanced Cancer Patients: Finding Our Center Under Stress (FOCUS),3
NCT06993285,ADvanced ALzheimer Disease and Effects of Protologic and LAnguage Rehabilitation Tools in Nursing Home (ADALPA),3
NCT01825317,Effect of NeuroAD on Alzheimer Patients,2
NCT05077826,Enhancing Memory in Mild Cognitive Impairment and Early Stage Alzheimer's Disease,5
NCT05480358,Clinical Trial of a Low Protein Diet in Patients With Cognitive Impairment,5
NCT01142258,Trazodone for Sleep Disorders in Alzheimer's Disease,2
NCT06295458,Gamma Sensory Flicker for Parkinson's Disease Patients With Freezing of Gait,2
NCT04064021,Acupuncture Treatment for Improving Alzheimer's Dementia,3
NCT03554226,Agitation and Aggressivity in Alzheimer's Disease Patients: A Cohort Study,3
NCT00040443,Efficacy And Safety Of CX516 In Elderly Participants With Mild Cognitive Impairment.,5
NCT03090958,AllyQuest: Engaging HIV+ YMSM in Care Through Social Networking and Gamification,3
NCT03978338,A Study to Evaluate the Efficacy and Safety of Brain Polypeptide Solution in Mild Alzheimer's Disease,2
NCT06038643,Intergenerational Behavioral Intervention to Enhance Physical Activity in Older Adults at Risk for Alzheimer's Disease,3
NCT06281314,The Efficacy of VESPA 2.0 for Cognitive Rehabilitation in Patients With Mild Cognitive Impairment,5
NCT02208193,"Alzheimer's Disease, Art and Garden",3
NCT01547689,Safety and Efficiency of Umbilical Cord-derived Mesenchymal Stem Cells(UC-MSC) in Patients With Alzheimer's Disease,1
NCT01515982,Physical Exercise as an Additional Treatment for Alzheimer Disease,2
NCT06767124,Supplementing Neuro-Energy to Aid Cognition,2
NCT00224497,A Dose Ranging Study To Investigate The Efficacy And Safety Of SB-742457 In Alzheimer's Disease,1
NCT01388478,Safety Study of R(+)Pramipexole to Treat Early Alzheimer's Disease,2
NCT04777396,A Research Study Investigating Semaglutide in People With Early Alzheimer's Disease (EVOKE),2
NCT05468268,Noninvasive Brain Stimulation for pAD,2
NCT01330160,Study of Factors Influencing Post-stroke Dementia,2
NCT07459660,An Open-Label Study of ML-007C-MA in Adults With Alzheimer's Disease Psychosis,1
NCT06898424,Impact of Ketoflex 12/3 Diet on Early-to-Mid Stage Alzheimer's Progression,2
NCT00142324,CALM-AD,3
NCT06524817,Effect of Neuronavigated Theta-Burst Transcranial Magnetic Stimulation (TBS) for Early Alzheimer's Disease,2
NCT00566397,A Phase 2 Study Evaluating The Efficacy And Safety Of PF 04494700 In Mild To Moderate Alzheimer's Disease,1
NCT01658722,Retrieval of Patient Information After Discontinuation,2
NCT03333837,Improvisational Movement for People With Memory Loss and Their Caregivers,3
NCT00895895,Study Comparing 3 Dosage Levels Of SAM-531 In Outpatients With Mild To Moderate Alzheimer Disease,1
NCT05043675,Clinical Evaluation of [18F]APN-1607 PET Uptake in Alzheimer's Disease Patients,0
NCT02008357,Clinical Trial of Solanezumab for Older Individuals Who May be at Risk for Memory Loss,2
NCT00392912,Effect of Testosterone Therapy in Men With Alzheimer's Disease and Low Testosterone,2
NCT01482351,Mild Cognitive Impairment and Obstructive Sleep Apnea,5
NCT00414622,GTS21-201 for Alzheimer Disease:GTS-21 Administered Daily for 28 Days to Participants With Probable Alzheimer's Disease,1
NCT05173922,"""Safety in Dementia"": An Online Caregiver Intervention",3
NCT01357629,Observational Follow-up Extension Study of AFF002 and AFF004A in Patients With Alzheimer's Disease,1
NCT04113577,COgilus Remediation in Alzheimer Patients (CORA),3
NCT05530590,Minnesota Inclusive LTSS for LGBTQ Seniors,3
NCT05570370,Eardream Data Collection in Colombia Supported by ADDF,2
NCT04663854,Mycose AdminiStration for HealIng Alzheimer NEuropathy (MASHIANE),2
NCT06666075,Digital Reminiscence Therapy for Alzheimer's in Institutionalized People,3
NCT00481520,"Study Evaluating the Safety,Tolerability, PK and PD of SAM-531 in the Subjects With Mild to Moderate Alzheimer's Disease",1
NCT05641688,[18F]PI-2620 Phase 3 Histopathological Study,0
NCT02180269,"A Safety, Tolerability and Pharmacokinetics Study of JNJ-54861911 in Healthy Japanese Male Participants",4
NCT07205003,Evaluation of the Link Between Carotid Arterial Wall Viscosity and Major Neurocognitive Disorders,2
NCT06254469,Visualizing Brain Proteinopathies Using [F-18]Flornaptitril-PET in the Prediction of Clinical Progression of Mild Cognitive Impairment With Either Suspected Chronic Traumatic Encephalopathy or Alzheimer's Disease,5
NCT07072962,Self-Administered Interactive Exercise Program (Tele-Exergame),5
NCT02079246,Long-term Safety and Tolerability of Idalopirdine (Lu AE58054) as Adjunctive Treatment to Donepezil in Patients With Mild-moderate Alzheimer's Disease,1
NCT00001917,Brain Imaging in Elderly People and Individuals With Alzheimer's Disease,0
NCT01024660,The Effect of Cognitive Function as Measured by Repeated Cognitive Measures After 12 Weeks Treatment With Donepezil,2
NCT04753320,Remote Monitoring in Progressive Supranuclear Palsy (PSP),2
NCT00165724,Alzheimer's Disease Long-term Follow-up Study (ALF Study),1
NCT06803797,BCT Intervention For Walking Habit Among Caregivers of People With AD/ADRD,3
NCT05635968,The Clinical Trial of Low Dose Irradiation for Alzheimer's Disease,1
NCT05395624,"Safety, PK and Biodistribution of 18F-OP-801 in Patients With ALS, AD, MS, PD and Healthy Volunteers",0
NCT06629740,A Study of a Mobile Phone Application Measuring the Eyes Before and After Medication,2
NCT05326750,Non-invasive Neurostimulation as a Tool for Diagnostics and Management for Neurodegenerative Diseases,2
NCT02414282,"F 18 T807 Tau PET Imaging of Progressive Posterior Cortical Dysfunction (IND 123119, Protocol E)",0
NCT00428389,Safety of Switching From Donepezil to Rivastigmine Patch in Patients With Probable Alzheimer's Disease,1
NCT04786223,Targeting Neuroinflammation as a Contributing Pathology in Alzheimer's Disease Dementia and Related Dementias,0
NCT03274817,A Proof of Concept Study of the Prevention of Mild Cognitive Impairment and Eventual Alzheimer's Disease Using F18 Flutemetamol,5
NCT03313518,Therapeutic Role of Transcranial DCS in Alzheimer,2
NCT05806697,Investigation of AlzHeimer's Predictors in Subjective Memory Complainers - Extension Study,0
NCT03980730,Study of Azeliragon in Patients With Mild Alzheimer's Disease and Impaired Glucose Tolerance,1
NCT04019665,Self-screening of Cognitive Impairment in Primary Care,5
NCT02353598,A Study of Crenezumab in Participants With Mild to Moderate Alzheimer Disease,1
NCT02477800,221AD301 Phase 3 Study of Aducanumab (BIIB037) in Early Alzheimer's Disease,5
NCT02664571,Florbetaben as an Amyloid Plaque Marker in Elderly Patients With Focal or Disseminated Superficial Hemosiderosis,0
NCT04529863,Data Analysis for Drug Repurposing for Effective Alzheimer's Medicines (DREAM) - Tocilizumab vs Abatacept,2
NCT02446132,"Long Term, Extension Study of the Safety and Efficacy of AVP-786 for the Treatment of Agitation in Patients With Dementia of the Alzheimer's Type",1
NCT00749216,Solanezumab Safety Study in Japanese Patients With Alzheimer's Disease,4
