gap_rank,approved_symbol,approved_name,target_id,biotype,association_score,literature_mentions,trial_mentions,literature_documents_mentioned,trial_documents_mentioned,literature_to_trial_gap_signal,evidence_strength_norm,literature_signal_norm,trial_signal_norm,underexploration_norm,literature_trial_gap_norm,gap_score,conservative_gap_score,gap_category,gap_interpretation_tier,text_coverage_status,symbol_ambiguity_flag,mention_match_quality,interpretation_note
11,MTOR,mechanistic target of rapamycin kinase,ENSG00000198793,protein_coding,0.4937230577264579,3,0,3,0,3,0.30251909588904047,0.32521662454326833,0.0,1.0,0.32521662454326833,0.316138,0.313868,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (3), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.30), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
12,SCD,stearoyl-CoA desaturase,ENSG00000099194,protein_coding,0.4806305565235538,6,9,2,5,-3,0.27822901811623946,0.4564992458232521,0.5300847688549171,0.46991523114508293,0.21451594861858952,0.312596,0.294769,High-priority gap signal,Established / trial-covered target,checked_with_mentions,moderate,moderate_ambiguity_review,"High trial mention count (9), but symbol ambiguity is 'moderate'. Some trial mentions may reflect non-gene uses of 'SCD'. Manual validation recommended. Not classified as a gap candidate."
13,ACE,angiotensin I converting enzyme,ENSG00000159640,protein_coding,0.6341919427542662,1,4,1,1,-3,0.5631263006626602,0.16260831227163416,0.37051335318497886,0.6294866468150211,0.10235976123612084,0.304741,0.344793,High-priority gap signal,Established / trial-covered target,checked_with_mentions,moderate,moderate_ambiguity_review,"High trial mention count (4), but symbol ambiguity is 'moderate'. Some trial mentions may reflect non-gene uses of 'ACE'. Manual validation recommended. Not classified as a gap candidate."
14,MAPT,microtubule associated protein tau,ENSG00000186868,protein_coding,0.3772403441193385,5,0,3,0,5,0.08641262938161465,0.4203363895277301,0.0,1.0,0.4203363895277301,0.286767,0.253375,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (5), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.09), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
15,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,ENSG00000176884,protein_coding,0.7000358051327009,0,0,0,0,0,0.6852842071808601,0.0,0.0,1.0,0.0,0.274114,0.342642,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
16,SORL1,sortilin related receptor 1,ENSG00000137642,protein_coding,0.6887135105146187,0,0,0,0,0,0.664278334232857,0.0,0.0,1.0,0.0,0.265711,0.332139,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
17,PLCG2,phospholipase C gamma 2,ENSG00000197943,protein_coding,0.55138545916762,1,0,1,0,1,0.40949821270299325,0.16260831227163416,0.0,1.0,0.16260831227163416,0.261364,0.286053,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (1), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.41), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
18,MS4A6A,membrane spanning 4-domains A6A,ENSG00000110077,protein_coding,0.5383166652061998,1,0,1,0,1,0.38525211817911453,0.16260831227163416,0.0,1.0,0.16260831227163416,0.251666,0.27393,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (1), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.39), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
19,GRIN3B,glutamate ionotropic receptor NMDA type subunit 3B,ENSG00000116032,protein_coding,0.66936011916202,0,0,0,0,0,0.6283726372360295,0.0,0.0,1.0,0.0,0.251349,0.314186,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
20,PICALM,phosphatidylinositol binding clathrin assembly protein,ENSG00000073921,protein_coding,0.5190691988271273,1,0,1,0,1,0.34954294022820176,0.16260831227163416,0.0,1.0,0.16260831227163416,0.237382,0.256076,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (1), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.35), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
21,ATP6V1A,ATPase H+ transporting V1 subunit A,ENSG00000114573,protein_coding,0.5182959504544525,1,0,1,0,1,0.348108358491765,0.16260831227163416,0.0,1.0,0.16260831227163416,0.236808,0.255358,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (1), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.35), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
22,CSF1R,colony stimulating factor 1 receptor,ENSG00000182578,protein_coding,0.4049383278664958,3,1,1,1,2,0.13779976839665586,0.32521662454326833,0.15957141566993815,0.8404285843300618,0.27332134736550023,0.234681,0.21594,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (3), with low or zero clinical trial text presence (1 mentions). Combined with Open Targets evidence (norm=0.14), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
23,KAT8,lysine acetyltransferase 8,ENSG00000103510,protein_coding,0.5057098773322191,1,0,1,0,1,0.32475783972874994,0.16260831227163416,0.0,1.0,0.16260831227163416,0.227468,0.243683,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (1), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.32), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
24,BACE1,beta-secretase 1,ENSG00000186318,protein_coding,0.4227334364529774,2,0,2,0,2,0.17081443571211097,0.257728077256096,0.0,1.0,0.257728077256096,0.222963,0.214271,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (2), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.17), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
25,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B,ENSG00000273079,protein_coding,0.6274063661175356,0,0,0,0,0,0.550537248220723,0.0,0.0,1.0,0.0,0.220215,0.275269,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
